case_num,case_name,MSE,R-Square
33,24168_a0ede173_111,0.0005791024887003005,0.9428020715713501
34,53461_a5942665_1,0.00018967776850331575,0.9929651021957397
35,24907_c72322ea_13,0.0002510409976821393,0.9052734375
36,133424_315bcaeb_7,6.138677417766303e-05,0.9205629825592041
37,40490_916e13fe_0,0.000494651438202709,0.9845927953720093
38,38000_b5822e44_3,0.0004175031208433211,0.9936723113059998
39,138520_f4e0bc0b_63,0.00044211262138560414,0.5782040357589722
40,61294_9255796d_3,2.061141458398197e-05,0.9614331722259521
41,22176_272891b8_0,0.00041897647315636277,0.7874723076820374
42,24815_4f2a57e4_1,0.0008568053017370403,0.9748409986495972
43,113343_e692c488_1,3.951542021241039e-05,0.940368115901947
44,33995_18423507_1,0.00022001663455739617,0.7036174535751343
45,127897_029949fd_6,0.00023622703156434,0.9952763915061951
46,123181_4e56fb4f_0,0.00046051255776546896,0.9933285713195801
47,22670_9353c710_1,1.2526412319857627e-05,0.9236599802970886
48,128642_4d72bf31_2,0.00018709087453316897,0.898652195930481
49,146667_fe438b5b_6,0.0007631758344359696,0.9533939361572266
50,38260_2a31c6df_2,0.0005404926487244666,0.9238269329071045
51,24443_996411f9_3,0.0008243672200478613,0.9812926054000854
52,142074_34e02b6d_1,6.368559843394905e-05,0.980927050113678
53,41501_b627682a_15,0.0004371750692371279,0.9617966413497925
54,24712_da77fe8f_0,0.00016071656136773527,0.9969930052757263
55,32960_0eaa1de8_26,0.00033326001721434295,0.9938273429870605
56,130757_b2c47f8d_2,4.2776900954777375e-05,-0.2784600257873535
57,104817_6d73dc41_0,0.0011420019436627626,0.8720536231994629
58,79243_49539d9f_0,0.0009142900817096233,0.9803027510643005
59,82012_c533307b_1,0.00010243380529573187,0.9045792818069458
60,107649_e651c5ca_1,4.184943827567622e-05,0.7081639766693115
61,40997_e3c88650_12,0.0005601305747404695,0.9856324195861816
62,143029_70554264_4,0.00041087076533585787,0.9438350200653076
63,27054_342fcf5c_3,4.079034260939807e-05,0.9574270248413086
64,41648_577daf16_17,9.492472599959001e-05,0.9640662670135498
65,89720_4e65191c_1,0.0004949955618940294,0.9880086183547974
66,75382_1b589ea9_12,4.3952935811830685e-05,0.874355673789978
67,120371_433ba1ca_2,0.00029611086938530207,0.9741755723953247
68,49024_b7f02205_13,0.0007904675439931452,0.9650861024856567
69,51022_47816098_7,0.0010361903114244342,0.9893598556518555
70,41634_4f5d0edb_0,3.246155029046349e-05,0.9350895285606384
71,23170_6ea8ded5_3,0.00037574642919935286,0.9937118291854858
72,69589_cd2fa794_8,0.0009834682568907738,0.9356946349143982
73,41504_85e300ee_0,0.0005818854551762342,0.9205495715141296
74,128996_42176b10_0,0.0005678668385371566,0.9540379047393799
75,38920_e81879c2_7,2.5469158572377637e-05,-29.632291793823242
76,148051_c59af578_6,0.00012676716141868383,0.996547520160675
77,65494_16d62db5_0,9.062659955816343e-05,0.8785600066184998
78,25473_0991d519_0,0.0005292653804644942,0.9875656366348267
79,75270_25a261ef_5,0.0003345876466482878,0.9666149616241455
80,49613_1b97c07b_12,3.350376937305555e-05,0.6441613435745239
81,115633_a2c63339_1,0.00011972180072916672,0.9645886421203613
82,52366_63042db4_1,0.0003695716441143304,0.9915886521339417
83,30282_88c6933c_5,0.0003419574350118637,0.9590906500816345
84,53474_f29e4438_12,0.00038177231908775866,0.987501323223114
85,24026_1dd4094b_21,0.0005322729703038931,0.9392836689949036
86,21225_c081eae3_2,0.0006791470223106444,0.910230815410614
87,35057_9af89947_8,0.00015270621224772185,0.8773332238197327
88,43529_4804941b_20,0.00042906837188638747,0.9869240522384644
89,22103_fd11c71b_3,0.00037248883745633066,0.9534875154495239
90,51536_a18dc325_0,0.0005758091574534774,0.9694406986236572
91,24230_636208ab_13,0.0012390675256028771,0.2391127347946167
92,41117_1b3271f2_56,0.00176812126301229,0.9726974368095398
93,140499_419d5823_0,0.0001584576239110902,0.9863024950027466
94,115524_a949e82c_2,2.6067555154440925e-05,0.8984560966491699
95,29833_0ed4880f_3,0.00023114209761843085,0.9958412051200867
96,127556_4823a42a_6,0.0001391926343785599,0.976618766784668
97,23960_48cc0f21_19,6.969206151552498e-05,0.022720754146575928
98,132987_ba18d2eb_11,0.00011520045518409461,0.7794064283370972
99,51337_f8636fd9_30,0.00017107404710259289,0.8067091107368469
100,40999_cad6be09_18,0.0007741734734736383,0.9816966652870178
101,136886_99fbdef3_0,6.803958967793733e-05,0.8832402229309082
102,30447_4ed3b778_7,0.0015990074025467038,0.9941088557243347
103,55811_bc667b2d_13,0.0006321187829598784,0.7593536972999573
104,41716_d55164d4_1,0.00012848014011979103,0.9550356268882751
105,33610_aa697fc9_6,0.00017036472854670137,0.987424910068512
106,55095_fa260d33_6,0.000656929041724652,0.9826837778091431
107,115639_bc0cc622_0,0.0008752757566981018,0.9359151721000671
108,20841_1620ae7d_0,0.0010788554791361094,0.8514697551727295
109,50823_d1830e58_2,0.0006619825726374984,0.8689565062522888
110,109762_cb162371_48,0.00039073952939361334,0.862693190574646
111,41387_5f752e39_23,0.0007724625756964087,0.9714329838752747
112,121540_629c716f_0,0.00040929921669885516,0.9826735258102417
113,118539_1dff9cf9_12,7.161315352277597e-06,0.4762551188468933
114,30714_dafa62f6_2,0.0017369927372783422,0.9772748351097107
115,79633_bbbde75f_0,0.0008657986181788146,0.9788843393325806
116,33059_531cfd5e_11,0.0005072263884358108,0.9169888496398926
117,20697_d3e106b4_4,3.0440196496783756e-05,0.744347095489502
118,136062_0027ff97_6,0.00046042940812185407,0.9575212001800537
119,146291_6b0c8db3_1,0.004066605120897293,0.9053595066070557
120,45466_5f662bcb_0,3.2386331440648064e-05,0.9333168864250183
121,144500_7f600ab6_0,0.00013524192036129534,0.9874938130378723
122,44996_b3e9c266_4,9.958873124560341e-05,0.9789651036262512
123,40713_4c9264ef_0,0.00022855195857118815,0.9695058465003967
124,132384_0fcab1fa_13,0.00019826657080557197,0.7867094278335571
125,33738_77d49563_2,0.00012172992865089327,0.8585050702095032
126,129422_621d0a90_33,5.989622150082141e-05,0.9718102216720581
127,115633_fd3c9b97_32,2.7193656933377497e-05,0.8885689973831177
128,69337_a122ffde_1,0.00019117712508887053,0.9804603457450867
129,37241_29f91452_0,0.0004920624778605998,0.988616943359375
130,141199_9ae000ef_6,0.0006603924557566643,0.44178009033203125
131,147133_92c04b84_4,0.0003482517786324024,0.6937082409858704
132,77687_cbb18594_50,0.0006542933406308293,0.5483776926994324
133,144290_2a679085_11,1.694643469818402e-05,0.9500902891159058
134,130825_c59bbbfb_0,0.0011078367242589593,0.9716495871543884
135,82512_252da752_6,2.5906734663294628e-05,-39.08049392700195
136,115624_d0acb46b_24,0.0003422470763325691,0.9962865710258484
137,92134_52f13f49_7,0.00010724848107201979,0.932712197303772
138,100326_0602c712_7,0.00010450699483044446,0.8352636694908142
139,134630_f9e85072_0,0.0002115837123710662,0.9512917995452881
140,108943_b07b2543_1,0.0003747685404960066,0.9381996989250183
141,125416_ab456bc3_5,0.0005657478468492627,0.9519671201705933
142,57222_33b428d7_69,0.00015557253209408373,0.8444039225578308
143,24650_dad8c8ee_13,0.0006832483923062682,0.987893283367157
144,41749_14d0599c_1,9.466271876590326e-05,0.9859183430671692
145,49396_98ab955d_27,6.925055640749633e-05,0.9547883868217468
146,136892_e2a0b32c_4,6.568271055584773e-05,-0.6889451742172241
147,31962_e5291336_28,0.0006553088314831257,0.9856983423233032
148,34231_e27353cb_0,9.244526881957427e-05,0.9028022885322571
149,112724_d334de09_0,0.0005409357836470008,0.9915924668312073
150,56486_82b3e23a_21,7.957693924254272e-06,0.907464325428009
151,40500_6055e3d7_17,5.858074018760817e-06,0.8029301166534424
152,39468_15fb2e60_43,0.00037108612013980746,0.39449626207351685
153,141710_17531562_7,0.0004294146492611617,0.9878637194633484
154,33529_756075a0_12,0.0002809957368299365,0.9449527859687805
155,54169_3a875f10_8,0.0009578197496011853,0.9747365713119507
156,41023_5445cb61_9,0.0001992764591705054,0.8247416019439697
157,146380_5c569eeb_2,0.0005943393334746361,0.6805586218833923
158,24195_9791f5d3_38,1.0978755199175794e-05,0.783504068851471
159,26573_7f7e176d_2,0.001168020535260439,0.9896400570869446
160,22734_f6bad9f7_25,0.000793260580394417,0.9872187972068787
161,48112_9538e204_0,0.00021647919493261725,0.995702862739563
162,127545_6fa39158_10,0.0012633067090064287,0.9901762008666992
163,23788_5c0b60c6_0,0.0003927315410692245,0.7937813997268677
164,23792_5b4c1ce0_21,0.0006850975332781672,0.978382408618927
165,146067_46e58ab3_1,0.0019947485998272896,0.9873443245887756
166,101072_dec6f415_3,0.0001304703182540834,0.9401934742927551
167,22829_b6649a29_0,5.20881476404611e-05,0.13632172346115112
168,55389_a736bd99_0,0.0004079783393535763,0.7832840085029602
169,30259_d709601c_9,0.0012902234448119998,0.9632444381713867
170,35866_d0233b36_13,6.139667675597593e-05,0.3480566740036011
171,34563_52848c45_5,7.216953963506967e-05,0.9707877039909363
172,44519_90af0df6_7,0.00045020238030701876,0.8686705231666565
173,114111_59282658_8,0.00040429900400340557,0.8616560697555542
174,45922_26941172_15,0.0017757609020918608,0.9702741503715515
175,41303_bd1def52_3,0.00011248820374021307,0.9715570211410522
176,22053_de30641b_1,1.9567663912312128e-05,0.7004594802856445
177,22298_51433023_4,0.0005998246488161385,0.9869311451911926
178,23479_81a49137_0,0.00031859875889495015,0.8842606544494629
179,22225_a3ce4d29_37,0.0009646286489441991,0.9866446852684021
